Epoch,Train_Loss,Val_Loss,IoU,Dice,Pixel_Accuracy,Precision,Recall,Specificity,FPR,FNR
19,0.9175997157851775,0.9274648330428383,0.9741757501255383,0.986909142407504,0.9992611343210394,0.9879022771661932,0.9859372431581671,0.9996431524103339,0.00035684922371398317,0.014062757553024725
20,0.9175225987224158,0.926994940367612,0.9743979757482355,0.9870220921256325,0.9992745464498346,0.988710961558602,0.9853571490807966,0.9996723716909235,0.00032762457584877583,0.014642848717895422
21,0.9167216035550486,0.9264950654723427,0.9758974877270785,0.9877936840057373,0.9993097066879273,0.9857541777870872,0.98985515832901,0.99957739981738,0.00042260149176317184,0.010144842822443356
22,0.9163054251718616,0.9261797969991511,0.9723239280960777,0.9859588590535251,0.9991919300772927,0.9778358762914484,0.994230551069433,0.9993240941654552,0.0006759055276316675,0.0057694475081833925
23,0.915995028310405,0.9257611122998324,0.9754022912545638,0.9875372138890353,0.9992962913079695,0.9820308674465527,0.993128485029394,0.999473757093603,0.000526246477172456,0.006871517231179909
24,0.9156145336393842,0.9254752126607028,0.9750698989087885,0.9873662027445707,0.9992868705229325,0.9815823728388006,0.9932305877858942,0.9994545351375234,0.0005454566382633692,0.006769414830275557
25,0.9153433333417934,0.925301211530512,0.972420486536893,0.986007769541307,0.9991952007467096,0.9767774126746438,0.9954347621310841,0.9992950753732162,0.0007049204548820853,0.004565235659141432
26,0.9150204986990812,0.9249852473085577,0.978087002580816,0.9889133149927313,0.9993756478483027,0.9870084903456948,0.9908439300277017,0.9996186288920316,0.00038137554074637594,0.009156073562123558
27,0.9149126283869237,0.9247526060451161,0.9767245466058905,0.9882173733277755,0.9993336244062944,0.9838157252831893,0.9926747278733687,0.999519128149206,0.0004808683366387744,0.007325277113440362
28,0.9146268629358861,0.9247031688690186,0.9769304470582442,0.9883182883262634,0.9993466550653631,0.988855149529197,0.9878025488419966,0.9996818499131637,0.00031814224414781415,0.012197451936927709
29,0.9144360660789964,0.9245579134334218,0.9768988815220919,0.9883045499975031,0.9993412256240845,0.9848539113998414,0.9918011426925659,0.9995504606853832,0.0004495360486378724,0.008198856917971915
30,0.9143074503642523,0.9242761568589644,0.9780590870163658,0.9888970591805198,0.9993767434900457,0.9866125811230052,0.9912135243415833,0.9996031479402022,0.000396841934310611,0.00878646858883175
31,0.9139489521961174,0.9242296728220853,0.9740321592851119,0.986833457513289,0.9992415829138322,0.9772570479999889,0.9966233296827837,0.9993119965900075,0.0006880106796002523,0.0033766702156175265
32,0.9137599819408868,0.9239654085852883,0.9789576357061213,0.9893544446338307,0.9994068091565912,0.9871606490828774,0.9915725870565935,0.999624245817011,0.00037575694785284047,0.008427403587847947
33,0.9137692904185676,0.9240029378370805,0.9768092047084461,0.9882472872734069,0.9993622400543907,0.9902363300323487,0.9862882722507823,0.9997138045050881,0.00028618908889422364,0.013711731152778323
34,0.9136683980305352,0.9238388354128058,0.9797019795937971,0.9897384676066312,0.9994267452846873,0.9907819390296936,0.9887122295119546,0.9997337276285345,0.0002662718126719648,0.011287775754251264
