id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
18,141078,2108.0,168.0,373.0,835.0,2437.5,281.25,0.9841976761817932,0.9822776913642883,0.0,0.0,4000.0,6000.0
19,139646,2569.0,651.0,376.0,383.0,2937.5,843.75,0.984065592288971,0.985116720199585,0.0,0.0,4000.0,6000.0
20,2219639,0.0,4943.0,3999.0,1056.0,3812.5,5531.25,0.9839155077934265,0.9643022418022156,0.0,0.0,4000.0,6000.0
21,136969,2091.0,1591.0,367.0,383.0,2437.5,1781.25,0.9838849306106567,0.985506534576416,0.0,0.0,4000.0,6000.0
22,136394,718.0,187.0,361.0,387.0,1062.5,468.75,0.983784556388855,0.9851565957069397,0.0,0.0,4000.0,6000.0
23,131422,1176.0,1130.0,358.0,372.0,1437.5,1406.25,0.9836726784706116,0.9859094023704529,0.0,0.0,4000.0,6000.0
24,40519,922.0,2888.0,242.0,222.0,1062.5,3093.75,0.9836713075637817,0.9844067692756653,0.0,0.0,4000.0,6000.0
25,54119,1411.0,3265.0,293.0,686.0,1562.5,3281.25,0.9833849668502808,0.9843598008155823,0.0,0.0,4000.0,6000.0
26,44431,1390.0,2709.0,262.0,223.0,1562.5,2906.25,0.9831727743148804,0.9843268394470215,0.0,0.0,4000.0,6000.0
27,40204,1877.0,3387.0,246.0,203.0,1937.5,3468.75,0.9831371903419495,0.983940601348877,0.0,0.0,4000.0,6000.0
28,37967,1645.0,4331.0,215.0,242.0,1812.5,4406.25,0.9831364750862122,0.977683424949646,0.0,0.0,4000.0,6000.0
29,130470,724.0,667.0,355.0,375.0,1062.5,843.75,0.9829619526863098,0.9820986390113831,0.0,0.0,4000.0,6000.0
30,135672,2097.0,1125.0,368.0,832.0,2437.5,1218.75,0.9828636050224304,0.9852845668792725,0.0,0.0,4000.0,6000.0
31,136873,2101.0,653.0,371.0,376.0,2437.5,843.75,0.9827960133552551,0.9859434962272644,0.0,0.0,4000.0,6000.0
32,34241,2127.0,2754.0,220.0,204.0,2187.5,2906.25,0.982611358165741,0.9834028482437134,0.0,0.0,4000.0,6000.0
33,135772,1637.0,655.0,364.0,380.0,1687.5,843.75,0.9825209975242615,0.9848363995552063,0.0,0.0,4000.0,6000.0
34,136142,2553.0,1596.0,371.0,377.0,2812.5,1781.25,0.9824659824371338,0.9851692914962769,0.0,0.0,4000.0,6000.0
35,127342,728.0,1531.0,351.0,473.0,812.5,1781.25,0.9821995496749878,0.9790269136428833,0.0,0.0,4000.0,6000.0
36,135780,263.0,197.0,360.0,388.0,312.5,468.75,0.9816974997520447,0.9849074482917786,0.0,0.0,4000.0,6000.0
37,125012,289.0,1608.0,347.0,433.0,562.5,1781.25,0.9813776612281799,0.9822408556938171,0.0,0.0,4000.0,6000.0
38,38879,865.0,3422.0,221.0,245.0,937.5,3468.75,0.9812366962432861,0.9837788343429565,0.0,0.0,4000.0,6000.0
39,50861,896.0,4064.0,294.0,214.0,1062.5,4218.75,0.9810433983802795,0.9821136593818665,0.0,0.0,4000.0,6000.0
40,129218,275.0,676.0,354.0,378.0,562.5,843.75,0.9801832437515259,0.9815764427185059,0.0,0.0,4000.0,6000.0
41,35215,1356.0,3807.0,232.0,212.0,1437.5,3843.75,0.980093240737915,0.9840608239173889,0.0,0.0,4000.0,6000.0
42,135247,1177.0,658.0,361.0,380.0,1437.5,843.75,0.9799975156784058,0.9856045246124268,0.0,0.0,4000.0,6000.0
43,34474,2048.0,3847.0,215.0,224.0,2187.5,4031.25,0.9798846244812012,0.9831522107124329,0.0,0.0,4000.0,6000.0
44,39105,865.0,2894.0,236.0,774.0,937.5,3656.25,0.9798402190208435,0.9820116758346558,0.0,0.0,4000.0,6000.0
45,33817,722.0,571.0,358.0,102.0,1062.5,656.25,0.9747397303581238,0.9666821956634521,0.0,0.0,4000.0,6000.0
46,33504,272.0,581.0,354.0,103.0,312.5,656.25,0.9727115631103516,0.9731411337852478,0.0,0.0,4000.0,6000.0
47,34897,1177.0,561.0,362.0,105.0,1187.5,656.25,0.9668117761611938,0.9694755673408508,0.0,0.0,4000.0,6000.0
48,128247,726.0,784.0,352.0,1138.0,812.5,1218.75,0.9642765522003174,0.9759869575500488,0.0,0.0,4000.0,6000.0
49,2195537,0.0,5373.0,3999.0,626.0,1062.5,5718.75,0.9627977013587952,0.9759548902511597,0.0,0.0,4000.0,6000.0
50,37123,2099.0,1025.0,368.0,104.0,2437.5,1031.25,0.9593786001205444,0.9747269153594971,0.0,0.0,4000.0,6000.0
51,12914,1011.0,5097.0,149.0,225.0,1062.5,5156.25,0.9464529156684875,0.9672904014587402,0.0,0.0,4000.0,6000.0
52,35930,1638.0,555.0,367.0,103.0,1687.5,656.25,0.9303247332572937,0.9646637439727783,0.0,0.0,4000.0,6000.0
53,16465,55.0,5055.0,194.0,224.0,187.5,5156.25,0.9300881028175354,0.962156355381012,0.0,0.0,4000.0,6000.0
54,6727364,49.0,68.0,3144.0,4331.0,3062.5,1593.75,0.9281287789344788,0.9550660252571106,0.0,0.0,4000.0,6000.0
55,15807,399.0,5072.0,147.0,224.0,437.5,5156.25,0.9258201122283936,0.9585090279579163,0.0,0.0,4000.0,6000.0
56,29963,288.0,1516.0,345.0,98.0,312.5,1593.75,0.9255597591400146,0.9523530006408691,0.0,0.0,4000.0,6000.0
57,33579,1627.0,1963.0,365.0,96.0,1937.5,1968.75,0.9226598143577576,0.9707890152931213,0.0,0.0,4000.0,6000.0
58,36974,2566.0,1026.0,369.0,104.0,2687.5,1031.25,0.9081394076347351,0.9707309007644653,0.0,0.0,4000.0,6000.0
59,16516,701.0,5082.0,147.0,227.0,812.5,5156.25,0.9062230587005615,0.9524287581443787,0.0,0.0,4000.0,6000.0
60,10900,269.0,5050.0,100.0,237.0,312.5,5156.25,0.9018162488937378,0.964591383934021,0.0,0.0,4000.0,6000.0
