Seed No. per image,Class,Area-SAM(mm2),Length-SAM(mm),Width-SAM(mm),Perimeter-SAM(mm),Area-SAM_taubin(mm2),Length-SAM_taubin(mm),Width-SAM_taubin(mm),Perimeter-SAM_taubin(mm),Area-SAM_minEnc(mm2),Length-SAM_minEnc(mm),Width-SAM_minEnc(mm),Perimeter-SAM_minEnc(mm),centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,Area-SAM(pix),Eccentricity,Equivalent diameter area,Perimeter(pix),solidity,area_convex,extent,Axis Major Length-SAM(pix),Axis Minor Length-SAM(pix),Aspect Ratio,Roundness,Compactness,Circularity-SAM,Shape,Shapefactor1,Shapefactor2,Shapefactor3,Shapefactor4,RGB value of Seed,color_seeds,TGW(g)
5,Faba-Seed-CC_Vf473-1-1,55.05211970425824,9.482811982989263,7.398687820522184,26.578378748717697,55.20109028405512,9.694408459008368,7.257203924476197,28.18564038105306,52.61715385850893,9.464793926371057,7.085315201774006,27.51805631230412,3727.446300715991,1377.3202801155633,3620,1279,3833,1480,31844.0,0.663025422942338,201.35798981551864,676.9676041556469,0.9920867343759736,32098.0,0.7437927732230865,232.84198547473045,174.3047838261696,1.3358324445468963,0.8731758319648179,0.8647838550465005,1.1452447071854963,"Elongated,Oval,Elongated,Ellipse",0.007311957840558,0.0054737088250901,0.7478511159490868,0.9990037843753932,"[45, 42, 51]",black,329.82654300477634
6,Faba-Seed-CC_Vf473-1-1,46.50662831818399,8.7847617735218,6.77649967728551,24.618320653751702,46.63247486909204,8.980782177309097,6.646913783252065,26.107052626961817,44.44963120046943,8.768070064849656,6.489479937930259,25.488700438396123,3829.833760826735,945.7038028326084,3721,864,3929,1026,26901.0,0.6724678020500928,185.0713835062585,627.0437226013956,0.9912668582799028,27138.0,0.7983440170940171,215.70198554380076,159.64672925799886,1.351120605767082,0.8597706977181809,0.857995734437399,1.163100815896594,"Elongated,Oval,Elongated,Ellipse",0.0080183630922196,0.0059346020318203,0.7361566803127715,0.994636459843676,"[31, 31, 43]",black,278.2406703952785
7,Faba-Seed-CC_Vf473-1-1,43.152743372000685,7.946860294057286,6.933223950829212,23.408925328830836,43.26951433803228,8.124184028478583,6.800641044168144,24.82452211488568,41.24408923069468,7.931760661271974,6.639566129531164,24.23654698804259,4091.053243059173,2544.733504266656,3994,2458,4189,2634,24961.0,0.5470712568612905,178.2731956187873,596.239682094289,0.9911058169545364,25185.0,0.7273018648018648,195.12806248588197,163.3389773002227,1.1946203270712894,0.8823280599934902,0.9136215127011056,1.1333652927317963,"Elongated,Oval,Elongated,Ellipse",0.0078173175147583,0.0065437673691047,0.8347042684702561,0.9971546862077388,"[27, 30, 61]",black,241.68453471071945
8,Faba-Seed-CC_Vf473-1-1,44.508127803860326,8.203676566709706,7.04614313316364,24.44058987428633,44.628566428934775,8.386730818447502,6.911400891463367,25.918574018766165,42.53952474837685,8.188088963673648,6.747702601642722,25.304685994023977,4190.813206447854,2039.096057486891,4096,1954,4291,2120,25745.0,0.5664623762486624,181.05124158427293,622.5168106668145,0.9860206817311375,26110.0,0.795335186901452,201.43395686972897,165.9992265422621,1.2134632254954842,0.8348348929530084,0.8988119202829445,1.197841643229314,"Elongated,Oval,Elongated,Ellipse",0.0078241971982804,0.0064478239091964,0.8078628680427143,0.980311881613145,"[32, 29, 46]",black,213.9465067715215
9,Faba-Seed-CC_Vf473-1-1,49.805191450822,8.430201690342225,7.575903668913114,25.494856355773383,49.93996388623741,8.618310552250128,7.431030903208118,27.036594654785056,47.60229825115512,8.414183672518824,7.25502504425671,26.396226026620404,4232.04821409976,1511.4205283071262,4132,1412,4326,1610,28809.0,0.5065041183223218,191.52221292653053,649.3696244092001,0.9906468140710428,29081.0,0.75,206.99607912219165,178.47979038053074,1.159773208388817,0.858527296853819,0.9252456072536196,1.164785329091603,"Elongated,Oval,Elongated,Ellipse",0.0071851185088754,0.0061952789191062,0.8560794337421197,0.9928579915067798,"[11, 17, 43]",black,250.34228314810133
0,Faba-Seed-CC_Vf628-1-1,75.76549334381487,11.011394304872796,8.782568282692665,31.27357484459716,75.96236238998199,11.352931038792171,8.541209999235669,33.214659569429315,70.87044683897338,10.965826090302777,8.24997730826858,32.08212744730302,3042.236177389132,1103.5725171767644,2925,996,3165,1218,40025.0,0.6587804639740715,225.7463461011604,762.4234482783626,0.9934720015885624,40288.0,0.75121996996997,260.60001646469084,196.05857366909564,1.3291946972159818,0.8652641606405431,0.8662560699866539,1.155716422207657,"Elongated,Oval,Elongated,Ellipse",0.0065109310796924,0.0048984028399524,0.7503995787887225,0.9974271409190764,"[255, 190, 34]",goldenrod,430.2612279404767
1,Faba-Seed-CC_Vf628-1-1,98.62670166644452,12.737102223810291,9.886858657535402,35.66819263032752,98.88297327277556,13.132164663014049,9.61515280139453,37.88204199744139,92.25464137924276,12.684392549534255,9.287301498750002,36.590364468001134,3074.7654408659937,2414.692372653641,2946,2273,3208,2550,52102.0,0.6811075449772515,257.5622774394408,869.5605332682102,0.9927594222781144,52482.0,0.7179155069308568,301.4413031934158,220.71031434896415,1.3657780520252816,0.8658937763803594,0.8544359207277555,1.1548760682635189,"Elongated,Oval,Elongated,Ellipse",0.0057855994624662,0.0042361198101601,0.7300607426298872,0.9971009389291776,"[255, 216, 50]",gold,558.3476934827912
2,Faba-Seed-CC_Vf628-1-1,93.27910594636263,12.173995226305411,9.77277322869748,34.5121328014351,93.52148236080306,12.551591964122936,9.504202612999434,36.65422797715877,87.25254238311284,12.123615845521527,9.180134418595133,35.40441566133181,3311.909734764697,1768.0640664001462,3182,1645,3451,1893,49277.0,0.6531704286263968,250.48238470182807,841.3767670841366,0.9926473550622456,49642.0,0.738652716153016,288.11459008532046,218.16351644948548,1.3206359833864878,0.8747281291701964,0.8693845897483076,1.143212349817356,"Elongated,Oval,Elongated,Ellipse",0.005846837065676,0.0044272889268722,0.7558295648918331,0.9981757207035068,"[255, 183, 45]",orange,528.45050517968
3,Faba-Seed-CC_Vf628-1-1,80.82914592831716,11.44150092804925,9.005756149424423,32.43375725475231,81.03917236857542,11.796378135232011,8.758264325222978,34.44685205088465,75.60694765831764,11.394152812555673,8.459630655302206,33.27230542118908,3756.991522248244,1021.1220608899298,3644,893,3868,1151,42700.0,0.6698974078741198,233.1680264534386,790.7077195258246,0.991616543972504,43061.0,0.7388565891472868,270.77909006591096,201.04093115305716,1.3468853755942891,0.8582341302201271,0.8611005613346386,1.165183211419839,"Elongated,Oval,Elongated,Ellipse",0.0063414306807004,0.0047082185281746,0.74149417673083,0.998707662727082,"[255, 205, 44]",gold,454.82315349726656
4,Faba-Seed-CC_Vf628-1-1,68.11038640858969,10.421031444622905,8.335014393862728,29.61363088525684,68.28736442608225,10.744257091178184,8.1059555693892,31.451686395182676,63.70991999283201,10.377906315891536,7.829563904327209,30.379266999670595,3754.160306828604,2271.369750701759,3661,2150,3846,2393,35981.0,0.656362785388968,214.0383892181865,721.955410846827,0.9917038751998236,36282.0,0.8003781559337115,246.6282553196756,186.06755802769464,1.3254769285625116,0.8674857350821479,0.8678583438898896,1.1527567077576248,"Elongated,Oval,Elongated,Ellipse",0.0068544024712952,0.0051712725612877,0.7531781050593017,0.998320201354536,"[255, 169, 36]",orange,391.105128206749
5,Faba-Seed-CC_Vf628-1-1,94.32023077682106,11.95475477117702,10.099351062372335,34.69923522986727,94.56531244985966,12.325551401132232,9.821805592985283,36.85294345806778,88.22640236466026,11.90528266842034,9.486907976224112,35.596355469444205,4038.400826860938,1624.2509683504927,3929,1488,4154,1765,49827.0,0.6041568632971579,251.87637204692095,845.938166904124,0.9918979177449536,50234.0,0.7994705174488568,282.9259586882137,225.45391058037,1.2549170602536788,0.8749784647845475,0.8902554336645031,1.142885271177774,"Elongated,Oval,Elongated,Ellipse",0.0056781656268331,0.0045247337905226,0.7925547371691725,0.9945904608584648,"[250, 156, 30]",orange,521.5691866846275
