class,seed_count
Faba-Seed-CC_Vf272-1-1,3
Faba-Seed-CC_Vf635-1-1,10
Faba-Seed-CC_Vf578-2-1,2
Faba-Seed-CC_Vf613-1-1,10
Faba-Seed-CC_Vf565-3-1,4
Faba-Seed-CC_Vf355-3-1,7
Faba-Seed-CC_Vf26-1-1,8
Faba-Seed-CC_Vf342-3-1,7
Faba-Seed-CC_Vf286-1-1,4
Faba-Seed-CC_Vf403-1-1,7
Faba-Seed-CC_Vf599-1-1,10
Faba-Seed-CC_Vf226-1-1,5
Faba-Seed-CC_Vf517-1-1,10
Faba-Seed-CC_Vf526-1-1,10
Faba-Seed-CC_Vf204-1-2,4
Faba-Seed-CC_Vf468-1-1,10
Faba-Seed-CC_Vf40-1-1,10
Faba-Seed-CC_Vf472-1-1,10
Faba-Seed-CC_Vf339-1-1,10
Faba-Seed-CC_Vf163-1-1,4
Faba-Seed-CC_Vf371-3-1,10
Faba-Seed-CC_Vf206-1-1,9
Faba-Seed-CC_Vf129-1-1,6
Faba-Seed-CC_Vf260-1-1,10
Faba-Seed-CC_Vf196-1-2,11
Faba-Seed-CC_Vf568-3-1,3
Faba-Seed-CC_Vf145-1-1,10
Faba-Seed-CC_Vf210-1-2,8
Faba-Seed-CC_Vf168-1-2,9
Faba-Seed-CC_Vf319-3-1,9
Faba-Seed-CC_Vf607-3-1,10
Faba-Seed-CC_Vf600-1-1,10
Faba-Seed-CC_Vf139-1-1,5
Faba-Seed-CC_Vf567-1-1,7
Faba-Seed-CC_Vf500-4-1,10
Faba-Seed-CC_Vf324-3-1,10
Faba-Seed-CC_Vf201-1-2,10
Faba-Seed-CC_Vf303-3-1,10
Faba-Seed-CC_Vf211-1-1,5
Faba-Seed-CC_Vf520-1-1,9
Faba-Seed-CC_Vf294-1-1,3
Faba-Seed-CC_Vf60-1-1,10
Faba-Seed-CC_Vf298-3-1,8
Faba-Seed-CC_Vf91-1-1,5
Faba-Seed-CC_Vf521-1-1,10
Faba-Seed-CC_Vf188-1-3,10
Faba-Seed-CC_Vf594-1-1,10
