id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
33,142647,2038.0,53.0,401.0,1300.0,2312.5,93.75,0.9814152717590332,0.9720749258995056,0.0,0.0,4000.0,6000.0
34,134946,1584.0,58.0,377.0,853.0,1937.5,843.75,0.9811283349990845,0.9817730784416199,0.0,0.0,4000.0,6000.0
35,132120,1125.0,537.0,364.0,373.0,1437.5,656.25,0.9809948801994324,0.9817257523536682,0.0,0.0,4000.0,6000.0
36,130559,675.0,537.0,355.0,816.0,937.5,656.25,0.9809561371803284,0.9808059930801392,0.0,0.0,4000.0,6000.0
37,129352,1119.0,1010.0,362.0,368.0,1437.5,1218.75,0.9807806611061096,0.9809911847114563,0.0,0.0,4000.0,6000.0
38,135281,2036.0,925.0,372.0,540.0,2312.5,1218.75,0.9807331562042236,0.9787339568138123,0.0,0.0,4000.0,6000.0
39,129499,226.0,453.0,352.0,464.0,437.5,843.75,0.9803717732429504,0.9797146916389465,0.0,0.0,4000.0,6000.0
40,141446,1709.0,52.0,730.0,1299.0,2437.5,93.75,0.9803467988967896,0.974745512008667,0.0,0.0,4000.0,6000.0
41,135155,2048.0,539.0,374.0,457.0,2062.5,843.75,0.9801976680755615,0.9832507967948914,0.0,0.0,4000.0,6000.0
42,127377,227.0,545.0,351.0,451.0,562.5,656.25,0.9799781441688538,0.9777412414550781,0.0,0.0,4000.0,6000.0
43,124341,231.0,1015.0,344.0,368.0,437.5,1218.75,0.9790611863136292,0.9812271595001221,0.0,0.0,4000.0,6000.0
44,135635,2039.0,538.0,384.0,809.0,2312.5,656.25,0.9785315990447998,0.9832541346549988,0.0,0.0,4000.0,6000.0
45,127230,671.0,1011.0,353.0,368.0,937.5,1218.75,0.9784817099571228,0.9809330701828003,0.0,0.0,4000.0,6000.0
46,131997,1564.0,1474.0,367.0,437.0,1687.5,1593.75,0.9784624576568604,0.9747425317764282,0.0,0.0,4000.0,6000.0
47,132486,1574.0,925.0,367.0,540.0,1687.5,1218.75,0.9783047437667847,0.9735356569290161,0.0,0.0,4000.0,6000.0
48,128682,667.0,1388.0,350.0,533.0,687.5,1593.75,0.9777640104293823,0.9593893885612488,0.0,0.0,4000.0,6000.0
49,126204,231.0,1388.0,343.0,527.0,437.5,1593.75,0.9775711894035339,0.9578869938850403,0.0,0.0,4000.0,6000.0
50,126410,666.0,664.0,352.0,1251.0,687.5,1781.25,0.9763045907020569,0.9735709428787231,0.0,0.0,4000.0,6000.0
51,131873,1575.0,1011.0,368.0,370.0,1937.5,1218.75,0.975885808467865,0.9740397930145264,0.0,0.0,4000.0,6000.0
52,131534,1564.0,1043.0,367.0,868.0,1562.5,1781.25,0.9748332500457764,0.9778304100036621,0.0,0.0,4000.0,6000.0
53,32810,1116.0,1377.0,360.0,95.0,1437.5,1406.25,0.9726842641830444,0.9753955602645874,0.0,0.0,4000.0,6000.0
54,35252,1590.0,437.0,369.0,97.0,1937.5,468.75,0.9702257513999939,0.9724788665771484,0.0,0.0,4000.0,6000.0
55,32953,1569.0,1377.0,366.0,95.0,1812.5,1406.25,0.9700436592102051,0.9745108485221863,0.0,0.0,4000.0,6000.0
56,32204,2033.0,1382.0,366.0,96.0,2312.5,1406.25,0.9690000414848328,0.974826991558075,0.0,0.0,4000.0,6000.0
57,33526,675.0,441.0,356.0,98.0,687.5,468.75,0.9681035876274109,0.9707387089729309,0.0,0.0,4000.0,6000.0
58,36256,2526.0,441.0,373.0,103.0,2562.5,468.75,0.9672331213951111,0.9702703952789307,0.0,0.0,4000.0,6000.0
59,35826,2055.0,437.0,372.0,102.0,2062.5,468.75,0.9666470885276794,0.9715284109115601,0.0,0.0,4000.0,6000.0
60,34506,2497.0,1388.0,370.0,103.0,2687.5,1406.25,0.9664666652679443,0.9708926677703857,0.0,0.0,4000.0,6000.0
61,31391,231.0,1380.0,345.0,95.0,562.5,1406.25,0.9659814238548279,0.971058189868927,0.0,0.0,4000.0,6000.0
62,31675,669.0,1378.0,351.0,97.0,937.5,1406.25,0.9608569741249084,0.9717271327972412,0.0,0.0,4000.0,6000.0
